,sector,ticker
293,financials,MHFI
294,health_care,MCK
295,consumer_staples,MJN
296,materials,WRK
297,health_care,MDT
298,health_care,MRK
299,financials,MET
300,consumer_discretionary,KORS
301,information_technology,MCHP
302,information_technology,MU
303,information_technology,MSFT
304,consumer_discretionary,MHK
305,consumer_staples,TAP
306,consumer_staples,MDLZ
307,materials,MON
308,consumer_staples,MNST
309,financials,MCO
310,financials,MS
311,materials,MOS
312,information_technology,MSI
313,energy,MUR
314,health_care,MYL
315,financials,NDAQ
316,energy,NOV
317,financials,NAVI
318,information_technology,NTAP
319,information_technology,NFLX
320,consumer_discretionary,NWL
321,energy,NFX
322,materials,NEM
323,consumer_discretionary,NWSA
324,consumer_discretionary,NWS
325,utilities,NEE
326,industrials,NLSN
327,consumer_discretionary,NKE
328,utilities,NI
329,energy,NBL
330,consumer_discretionary,JWN
331,industrials,NSC
332,financials,NTRS
333,industrials,NOC
334,utilities,NRG
335,materials,NUE
336,information_technology,NVDA
337,consumer_discretionary,ORLY
338,energy,OXY
339,consumer_discretionary,OMC
340,energy,OKE
341,information_technology,ORCL
342,materials,OI
343,industrials,PCAR
344,industrials,PH
345,health_care,PDCO
346,information_technology,PAYX
347,information_technology,PYPL
348,industrials,PNR
349,financials,PBCT
350,utilities,POM
351,consumer_staples,PEP
352,health_care,PKI
353,health_care,PRGO
354,health_care,PFE
355,utilities,PCG
356,consumer_staples,PM
357,energy,PSX
358,utilities,PNW
359,energy,PXD
360,industrials,PBI
361,financials,PCL
362,financials,PNC
363,consumer_discretionary,RL
364,materials,PPG
365,utilities,PPL
366,materials,PX
367,industrials,PCP
368,consumer_discretionary,PCLN
369,financials,PFG
370,consumer_staples,PG
371,financials,PGR
372,financials,PLD
373,financials,PRU
374,utilities,PEG
375,financials,PSA
376,consumer_discretionary,PHM
377,consumer_discretionary,PVH
378,information_technology,QRVO
379,industrials,PWR
380,information_technology,QCOM
381,health_care,DGX
382,energy,RRC
383,industrials,RTN
384,financials,O
385,information_technology,RHT
386,health_care,REGN
387,financials,RF
388,industrials,RSG
389,consumer_staples,RAI
390,industrials,RHI
391,industrials,ROK
392,industrials,COL
393,industrials,ROP
394,consumer_discretionary,ROST
395,consumer_discretionary,RCL
396,industrials,R
397,information_technology,CRM
398,information_technology,SNDK
399,utilities,SCG
400,energy,SLB
401,consumer_discretionary,SNI
402,information_technology,STX
403,materials,SEE
404,utilities,SRE
405,materials,SHW
406,materials,SIAL
407,consumer_discretionary,SIG
408,financials,SPG
409,information_technology,SWKS
410,financials,SLG
411,consumer_staples,SJM
412,consumer_discretionary,SNA
413,utilities,SO
414,industrials,LUV
415,energy,SWN
416,energy,SE
417,health_care,STJ
418,consumer_discretionary,SWK
419,consumer_discretionary,SPLS
420,consumer_discretionary,SBUX
421,consumer_discretionary,HOT
422,financials,STT
423,industrials,SRCL
424,health_care,SYK
425,financials,STI
426,information_technology,SYMC
427,financials,SYF
428,consumer_staples,SYY
429,financials,TROW
430,consumer_discretionary,TGT
431,information_technology,TEL
432,utilities,TE
433,consumer_discretionary,TGNA
434,health_care,THC
435,information_technology,TDC
436,energy,TSO
437,information_technology,TXN
438,industrials,TXT
439,consumer_staples,HSY
440,financials,TRV
441,health_care,TMO
442,consumer_discretionary,TIF
443,consumer_discretionary,TWX
444,consumer_discretionary,TWC
445,consumer_discretionary,TJX
446,financials,TMK
447,information_technology,TSS
448,consumer_discretionary,TSCO
449,energy,RIG
450,consumer_discretionary,TRIP
451,consumer_discretionary,FOXA
452,consumer_discretionary,FOX
453,consumer_staples,TSN
454,industrials,TYC
455,financials,USB
456,consumer_discretionary,UA
457,industrials,UNP
458,industrials,UAL
459,health_care,UNH
460,industrials,UPS
461,industrials,URI
462,industrials,UTX
463,health_care,UHS
464,financials,UNM
465,consumer_discretionary,URBN
466,consumer_discretionary,VFC
467,energy,VLO
468,health_care,VAR
469,financials,VTR
470,information_technology,VRSN
471,industrials,VRSK
472,telecommunications_services,VZ
473,health_care,VRTX
474,consumer_discretionary,VIAB
475,information_technology,V
476,financials,VNO
477,materials,VMC
478,consumer_staples,WMT
479,consumer_staples,WBA
480,consumer_discretionary,DIS
481,industrials,WM
482,health_care,WAT
483,health_care,ANTM
484,financials,WFC
485,financials,HCN
486,information_technology,WDC
487,information_technology,WU
488,financials,WY
489,consumer_discretionary,WHR
490,consumer_staples,WFM
491,energy,WMB
492,utilities,WEC
493,consumer_discretionary,WYN
494,consumer_discretionary,WYNN
495,utilities,XEL
496,information_technology,XRX
497,information_technology,XLNX
498,financials,XL
499,industrials,XYL
500,information_technology,YHOO
501,consumer_discretionary,YUM
502,health_care,ZBH
503,financials,ZION
504,health_care,ZTS
505,Benchmark,SPY
